name,rating,reviews,salary,interviews,jobs
HDFC Ergo General Insurance,4.0,2.2k Reviews,9.2k Salaries,89 Interviews,50 Jobs
Utkarsh Small Finance Bank,3.9,2.2k Reviews,8.3k Salaries,141 Interviews,30 Jobs
PolicyBazaar,3.4,2.2k Reviews,12k Salaries,160 Interviews,125 Jobs
RBL Bank,3.7,2.2k Reviews,14.5k Salaries,112 Interviews,113 Jobs
Indiabulls Home Loans,3.8,2.2k Reviews,8.9k Salaries,82 Interviews,3 Jobs
Carelon Global Solutions,4.0,2.2k Reviews,18.2k Salaries,230 Interviews,9 Jobs
Escorts Kubota Limited,4.1,2.2k Reviews,9.9k Salaries,123 Interviews,-- Jobs
GATI-KWE,4.1,2.2k Reviews,6.3k Salaries,77 Interviews,31 Jobs
Shoppers Stop,4.2,2.2k Reviews,7.7k Salaries,68 Interviews,4 Jobs
Cogent E Services,3.4,2.2k Reviews,8.3k Salaries,154 Interviews,2 Jobs
Ceat Tyres,4.0,2.2k Reviews,11.1k Salaries,110 Interviews,3 Jobs
Kotak Mahindara Life Insurance,3.8,2.2k Reviews,10.4k Salaries,132 Interviews,201 Jobs
GeBBS Healthcare Solutions,3.7,2.2k Reviews,10.1k Salaries,92 Interviews,105 Jobs
Indian Oil Corporation,4.4,2.2k Reviews,7k Salaries,156 Interviews,-- Jobs
PNB MetLife,3.5,2.2k Reviews,6.9k Salaries,102 Interviews,615 Jobs
Dabur,3.8,2.2k Reviews,7.3k Salaries,138 Interviews,20 Jobs
Reliance Digital,4.2,2.2k Reviews,7.1k Salaries,67 Interviews,2 Jobs
ACC,3.9,2.2k Reviews,9.2k Salaries,131 Interviews,7 Jobs
JK Cement,4.1,2.2k Reviews,7.6k Salaries,159 Interviews,-- Jobs
S&P Global,4.2,2.2k Reviews,14.5k Salaries,125 Interviews,5 Jobs
Marpu Foundation,4.9,2.1k Reviews,8 Salaries,23 Interviews,-- Jobs
Jubilant Foods Works,3.8,2.1k Reviews,7.1k Salaries,97 Interviews,110 Jobs
IndiGo,3.6,2.1k Reviews,11k Salaries,257 Interviews,71 Jobs
Torrent Pharmaceuticals,3.9,2.1k Reviews,10k Salaries,71 Interviews,18 Jobs
Reliance SMSL,4.0,2.1k Reviews,5.6k Salaries,120 Interviews,1 Jobs
ArcelorMittal Nippon Steel,4.0,2.1k Reviews,8.5k Salaries,121 Interviews,4 Jobs
HARMAN,3.8,2.1k Reviews,8.4k Salaries,64 Interviews,2 Jobs
Birlasoft,3.7,2.1k Reviews,24.3k Salaries,168 Interviews,95 Jobs
Bajaj Electricals,4.1,2.1k Reviews,8.1k Salaries,93 Interviews,52 Jobs
Titan Company,4.4,2.1k Reviews,7.6k Salaries,85 Interviews,91 Jobs
KPIT Technologies,3.6,2.1k Reviews,18.2k Salaries,138 Interviews,3 Jobs
Wipro Enterprises Ltd,3.9,2.1k Reviews,5.5k Salaries,107 Interviews,2 Jobs
Simplex Infrastructures,3.3,2.1k Reviews,7.4k Salaries,46 Interviews,13 Jobs
Synechron,4.0,2.1k Reviews,22k Salaries,175 Interviews,94 Jobs
UPL,4.1,2.1k Reviews,9.7k Salaries,115 Interviews,59 Jobs
Lenskart,3.2,2.1k Reviews,8.5k Salaries,168 Interviews,189 Jobs
Dilip Buildcon,4.0,2k Reviews,7.9k Salaries,93 Interviews,8 Jobs
Huawei Technologies,4.0,2k Reviews,12.1k Salaries,77 Interviews,7 Jobs
Domino's Pizza,4.0,2k Reviews,4.7k Salaries,60 Interviews,3 Jobs
Statestreet HCL Services,3.2,2k Reviews,16.3k Salaries,154 Interviews,-- Jobs
KocharTech,4.2,2k Reviews,3.7k Salaries,49 Interviews,73 Jobs
Apollo Tyres,4.1,2k Reviews,8.8k Salaries,90 Interviews,16 Jobs
Tata AIG,4.2,2k Reviews,9.2k Salaries,97 Interviews,96 Jobs
Patanjali Ayurved,4.0,2k Reviews,7.7k Salaries,83 Interviews,5 Jobs
Tech Mahindra Business Services,3.5,2k Reviews,10.8k Salaries,211 Interviews,4 Jobs
AGS Health,4.1,2k Reviews,10.1k Salaries,95 Interviews,25 Jobs
Flex,4.1,2k Reviews,18.2k Salaries,111 Interviews,29 Jobs
Capita,3.9,2k Reviews,13.8k Salaries,96 Interviews,32 Jobs
McDonald's,4.2,2k Reviews,5k Salaries,65 Interviews,15 Jobs
Suzlon Group,4.1,2k Reviews,7.7k Salaries,75 Interviews,12 Jobs
AFCONS Infrastructure,4.4,2k Reviews,6.8k Salaries,146 Interviews,6 Jobs
Alstom Transportation,3.9,2k Reviews,9.1k Salaries,156 Interviews,61 Jobs
Square Yards,3.8,2k Reviews,7.2k Salaries,138 Interviews,637 Jobs
Lava International,4.1,2k Reviews,5.3k Salaries,45 Interviews,20 Jobs
